Date,Pavg,Np,Gp,Bo,Rs,Bg,Rp
01/01/2003,5200.00,0,0,1.376,0.8,0.545,0.8
02/04/2003,3940.89,3.89,3.11,1.389,0.8,0.613,0.8
02/07/2003,3512.38,6.07,4.85,1.364,0.747,0.651,0.8
01/10/2003,3322.18,7.74,6.17,1.336,0.696,0.673,0.798
31/12/2003,3178.82,9.22,7.51,1.316,0.658,0.692,0.814
31/03/2004,3058.58,10.57,8.98,1.299,0.627,0.709,0.85
30/06/2004,2952.10,11.79,10.63,1.285,0.6,0.727,0.901
29/09/2004,2854.95,12.9,12.47,1.272,0.576,0.745,0.966
29/12/2004,2764.87,13.91,14.5,1.261,0.554,0.763,1.042
30/03/2005,2680.77,14.83,16.7,1.25,0.533,0.781,1.126
29/06/2005,2602.16,15.65,19.04,1.241,0.515,0.8,1.216
28/09/2005,2528.94,16.39,21.47,1.232,0.497,0.82,1.31
28/12/2005,2461.18,17.05,23.94,1.224,0.482,0.839,1.404
29/03/2006,2399.03,17.62,26.4,1.216,0.467,0.858,1.498
28/06/2006,2342.59,18.13,28.79,1.21,0.455,0.877,1.588
27/09/2006,2291.91,18.56,31.07,1.204,0.443,0.895,1.674
27/12/2006,2246.93,18.94,33.2,1.199,0.433,0.912,1.753
28/03/2007,2207.46,19.26,35.14,1.195,0.424,0.928,1.825
27/06/2007,2173.21,19.53,36.89,1.191,0.417,0.943,1.889
26/09/2007,2143.79,19.76,38.44,1.188,0.41,0.956,1.945
26/12/2007,2118.77,19.95,39.79,1.185,0.405,0.967,1.994
26/03/2008,2097.66,20.11,40.95,1.183,0.4,0.977,2.037
25/06/2008,2080.00,20.24,41.94,1.181,0.397,0.986,2.072
24/09/2008,2065.32,20.35,42.77,1.179,0.393,0.993,2.102
24/12/2008,2053.19,20.43,43.47,1.178,0.391,0.999,2.127
25/03/2009,2043.21,20.51,44.05,1.177,0.389,1.004,2.148
24/06/2009,2035.03,20.56,44.52,1.176,0.387,1.008,2.165
23/09/2009,2028.36,20.61,44.91,1.176,0.385,1.012,2.179
23/12/2009,2022.92,20.65,45.23,1.175,0.384,1.015,2.19
24/03/2010,2018.51,20.68,45.5,1.174,0.383,1.017,2.2
23/06/2010,2014.94,20.71,45.8,1.174,0.383,1.019,2.212
