WELL,MD,POROSITY,PERMEABILITY
WELL_1,4038.350098,0.201,1973.924
WELL_1,4038.850098,0.203,1158.927
WELL_1,4039.350098,0.207,1935.1169
WELL_1,4039.850098,0.206,1003.681
WELL_1,4040.350098,0.19,901.498
WELL_1,4040.850098,0.201,581.095
WELL_1,4041.350098,0.208,2392.0779
WELL_1,4041.850098,0.208,3573.886
WELL_1,4042.350098,0.2,1295.686
WELL_1,4042.850098,0.206,1245.464
WELL_1,4043.350098,0.217,933.882
WELL_1,4043.899902,0.178,248.89
WELL_1,4044.350098,0.209,1006.54
WELL_1,4044.850098,0.212,1205.4709
WELL_1,4045.350098,0.214,1248.147
WELL_1,4045.850098,0.204,1480.0699
WELL_1,4046.350098,0.205,928.064
WELL_1,4046.850098,0.212,363.974
WELL_1,4047.350098,0.223,514.459
WELL_1,4047.850098,0.203,93.087
WELL_1,4048.350098,0.212,195.601
WELL_1,4048.850098,0.209,270.534
WELL_1,4049.350098,0.222,114.086
WELL_1,4049.850098,0.217,92.916
WELL_1,4050.350098,0.222,182.239
WELL_1,4053.649902,0.228,52.763
WELL_1,4054.149902,0.234,148.48
WELL_1,4054.649902,0.229,139.654
WELL_1,4055.149902,0.224,65.374
WELL_1,4055.649902,0.221,73.953
WELL_1,4056.149902,0.235,163.287
WELL_1,4056.649902,0.223,62.758
WELL_1,4057.149902,0.23,104.178
WELL_1,4057.649902,0.225,128.787
WELL_1,4058.149902,0.211,59.682
WELL_1,4058.649902,0.215,92.662
WELL_1,4059.149902,0.235,178.308
WELL_1,4059.649902,0.22,89.764
WELL_1,4060.149902,0.222,107.682
WELL_1,4060.649902,0.225,92.424
WELL_1,4061.149902,0.226,148.799
WELL_1,4061.649902,0.233,184.059
WELL_1,4062.149902,0.236,196.932
WELL_1,4062.649902,0.09,0.033
WELL_1,4063.149902,0.2,14.103
WELL_1,4063.649902,0.223,38.696
WELL_1,4064.149902,0.229,30.514
WELL_1,4064.649902,0.231,38.748
WELL_1,4065.649902,0.224,34.258
WELL_1,4066.149902,0.197,24.507
WELL_1,4066.649902,0.195,34.786
WELL_1,4067.149902,0.217,78.454
WELL_1,4067.649902,0.234,136.78
WELL_1,4068.149902,0.23,81.264
WELL_1,4068.649902,0.206,26.147
WELL_1,4069.149902,0.216,37.368
WELL_1,4069.649902,0.231,52.942
WELL_1,4070.149902,0.12,0.076
WELL_1,4070.649902,0.144,0.062
WELL_1,4070.800049,0.125,0.102
WELL_1,4071.350098,0.21,5.989
WELL_1,4071.850098,0.105,0.39
WELL_1,4072.350098,0.121,8.28
WELL_1,4072.850098,0.223,816.529
WELL_1,4073.350098,0.233,4359.9912
WELL_1,4073.850098,0.238,1872.053
WELL_1,4074.350098,0.216,3035.3259
WELL_1,4074.850098,0.153,208.405
WELL_1,4075.350098,0.017,0.004
WELL_1,4075.850098,0.018,0.005
WELL_1,4076.350098,0.019,0.006
WELL_1,4076.850098,0.057,0.166
WELL_1,4077.350098,0.165,1.338
WELL_1,4077.75,0.123,4.095
WELL_1,4078.350098,0.224,535.554
WELL_1,4078.850098,0.199,797.466
WELL_1,4079.350098,0.079,3.966
WELL_1,4079.699951,0.05,0.019
WELL_1,4080.050049,0.177,213.922
WELL_1,4080.75,0.23,5276.5488
WELL_1,4081.350098,0.223,1172.8781
WELL_1,4081.850098,0.215,1205.775
WELL_1,4082.350098,0.226,3020.9971
WELL_1,4082.949951,0.205,1193.004
WELL_1,4083.350098,0.203,1368.416
WELL_1,4083.850098,0.203,465.413
WELL_1,4084.350098,0.236,353.99
WELL_1,4084.649902,0.224,477.273
WELL_1,4085.149902,0.224,239.377
WELL_1,4085.649902,0.202,27.69
WELL_1,4086.149902,0.191,452.629
WELL_1,4086.850098,0.201,664.501
WELL_1,4087.350098,0.207,184.097
WELL_1,4087.850098,0.215,250.204
WELL_1,4088.300049,0.207,1555.8199
WELL_1,4088.699951,0.177,791.673
WELL_1,4089.25,0.152,35.196
WELL_1,4089.75,0.194,260.598
WELL_1,4090.25,0.197,948.591
WELL_1,4090.75,0.192,791.756
WELL_1,4091.25,0.176,315.128
WELL_1,4091.75,0.176,636.09
WELL_1,4092.25,0.148,382.966
WELL_1,4092.75,0.221,652.755
WELL_1,4093.25,0.202,1399.96
WELL_1,4093.75,0.211,357.048
WELL_1,4094.25,0.209,474.919
WELL_1,4094.75,0.179,1.783
WELL_1,4095.25,0.205,6.535
WELL_1,4095.75,0.215,9.344
WELL_1,4096.25,0.236,28.869
WELL_1,4096.75,0.229,21.275
WELL_1,4097.25,0.23,24.775
WELL_1,4097.75,0.227,20.445
WELL_1,4098.25,0.227,15.559
WELL_1,4098.75,0.174,6.077
WELL_1,4099.25,0.207,9.935
WELL_1,4099.75,0.156,2.403
WELL_1,4100.25,0.094,0.105
WELL_1,4100.850098,0.212,7.15
WELL_1,4101.25,0.232,15.238
WELL_1,4101.75,0.231,20.322
WELL_1,4102.450195,0.207,4.868
WELL_1,4102.950195,0.228,15.676
WELL_1,4103.450195,0.145,1089.3571
WELL_1,4104.299805,0.144,0.296
WELL_1,4104.649902,0.149,12.017
WELL_1,4107.049805,0.174,404.985
WELL_1,4107.299805,0.202,2202.0039
WELL_2,3839.149902,0.104,10.632
WELL_2,3839.399902,0.124,0.248
WELL_2,3839.600098,0.157,306.81
WELL_2,3839.850098,0.159,150.954
WELL_2,3840.100098,0.165,707.324
WELL_2,3840.350098,0.162,254.7
WELL_2,3840.600098,0.192,7.938
WELL_2,3840.800049,0.099,0.057
WELL_2,3841,0.122,2.36
WELL_2,3841.350098,0.181,350.848
WELL_2,3841.600098,0.096,0.025
WELL_2,3841.800049,0.197,141.943
WELL_2,3842.050049,0.2,87.775
WELL_2,3842.350098,0.216,177.067
WELL_2,3842.600098,0.209,20.308
WELL_2,3842.800049,0.191,110.692
WELL_2,3843.050049,0.21,30.604
WELL_2,3843.350098,0.17,23.022
WELL_2,3843.600098,0.112,0.24
WELL_2,3843.850098,0.187,5.731
WELL_2,3844.100098,0.232,89.919
WELL_2,3844.350098,0.244,69.456
WELL_2,3844.600098,0.25,66.622
WELL_2,3844.800049,0.237,63.391
WELL_2,3845.050049,0.238,60.775
WELL_2,3845.350098,0.237,42.038
WELL_2,3845.600098,0.23,35.718
WELL_2,3845.850098,0.224,33.282
WELL_2,3846.100098,0.234,50.192
WELL_2,3846.350098,0.228,46.217
WELL_2,3846.600098,0.237,70.725
WELL_2,3846.850098,0.236,91.815
WELL_2,3847.100098,0.224,67.849
WELL_2,3847.350098,0.215,61.911
WELL_2,3847.600098,0.175,13.151
WELL_2,3848.050049,0.085,0.26
WELL_2,3848.300049,0.144,7.126
WELL_2,3848.550049,0.162,6.25
WELL_2,3848.800049,0.228,71.725
WELL_2,3849.050049,0.232,72.911
WELL_2,3849.300049,0.229,55.573
WELL_2,3849.550049,0.237,81.609
WELL_2,3849.800049,0.234,70.655
WELL_2,3850.050049,0.214,26.569
WELL_2,3850.300049,0.209,16.698
WELL_2,3850.550049,0.228,28.421
WELL_2,3850.800049,0.226,24.902
WELL_2,3851,0.221,26.692
WELL_2,3851.199951,0.22,24.721
WELL_2,3851.550049,0.224,20.125
WELL_2,3851.800049,0.227,18.484
WELL_2,3852.050049,0.214,51.912
WELL_2,3852.300049,0.21,59.867
WELL_2,3852.550049,0.208,64.189
WELL_2,3852.800049,0.238,123.596
WELL_2,3853.25,0.169,8.913
WELL_2,3853.800049,0.155,1.343
WELL_2,3854,0.089,0.331
WELL_2,3854.199951,0.039,0.004
WELL_2,3854.399902,0.037,0.003
WELL_2,3854.600098,0.032,0.002
WELL_2,3855,0.188,8.798
WELL_2,3855.25,0.201,12.844
WELL_2,3855.5,0.084,0.045
WELL_2,3855.75,0.031,0.002
WELL_2,3856,0.033,0.002
WELL_2,3856.199951,0.082,0.128
WELL_2,3856.399902,0.175,8.28
WELL_2,3856.75,0.2,16.966
WELL_2,3857,0.174,5.981
WELL_2,3857.25,0.222,114.713
WELL_2,3857.5,0.217,135.986
WELL_2,3857.75,0.21,38.536
WELL_2,3858,0.2,51.523
WELL_2,3858.199951,0.152,2.138
WELL_2,3858.399902,0.179,8.647
WELL_2,3858.75,0.142,15.806
WELL_2,3859,0.194,47.193
WELL_2,3859.25,0.183,18.149
WELL_2,3859.75,0.19,8.463
WELL_2,3860,0.224,15913.9697
WELL_2,3860.149902,0.217,15600.5488
WELL_2,3861.300049,0.223,1646.28
WELL_2,3861.699951,0.23,3370.7329
WELL_2,3862,0.237,2590.708
WELL_2,3862.199951,0.232,4442.7822
WELL_2,3862.399902,0.23,4432.022
WELL_2,3862.649902,0.229,3458.333
WELL_2,3863,0.235,1495.905
WELL_2,3867,0.218,4567.9712
WELL_2,3867.149902,0.201,3454.063
WELL_2,3868,0.173,989.278
WELL_2,3868.25,0.211,3803.333
WELL_2,3868.699951,0.212,5115.689
WELL_2,3869,0.221,4603.4312
WELL_2,3869.25,0.237,6813.2031
WELL_2,3869.5,0.237,6239.0459
WELL_2,3869.75,0.226,5994.2759
WELL_2,3870,0.229,6377.3711
WELL_2,3870.199951,0.228,5239.7041
WELL_2,3870.399902,0.227,6055.8369
WELL_2,3870.75,0.227,6207.2168
WELL_2,3871,0.237,7990.4141
WELL_2,3871.25,0.238,8751.5361
WELL_2,3871.5,0.233,8074.876
WELL_2,3871.75,0.234,8775.2266
WELL_2,3872,0.246,9786.498
WELL_2,3872.5,0.222,8682.5518
WELL_2,3872.800049,0.234,4635.1611
WELL_2,3873,0.224,4748.3398
WELL_2,3873.25,0.219,2451.637
WELL_2,3873.5,0.224,2782.2151
WELL_2,3873.75,0.217,1717.4351
WELL_2,3874,0.213,1127.639
WELL_2,3874.199951,0.217,1938.426
WELL_2,3874.399902,0.199,161.166
WELL_2,3874.75,0.204,72.744
WELL_2,3875,0.191,216.873
WELL_2,3875.5,0.146,6.457
WELL_2,3875.75,0.123,0.514
WELL_2,3876,0.08,0.064
WELL_2,3876.550049,0.072,0.096
WELL_2,3877,0.039,0.007
WELL_2,3877.25,0.24,46.136
WELL_2,3877.550049,0.282,199.832
WELL_2,3877.800049,0.272,132.072
WELL_2,3878,0.241,104.931
WELL_2,3878.199951,0.231,62.164
WELL_2,3878.5,0.207,43.745
WELL_2,3878.75,0.116,1.773
WELL_2,3879,0.135,4.043
WELL_2,3879.25,0.12,1.641
WELL_2,3879.5,0.083,0.128
WELL_2,3879.75,0.094,0.16
WELL_2,3880,0.207,22.947
WELL_2,3881.25,0.224,62.661
WELL_2,3881.5,0.202,37.595
WELL_2,3882.399902,0.202,28.189
WELL_2,3882.600098,0.205,31.448
WELL_2,3882.800049,0.202,28.227
WELL_2,3883,0.214,37.126
WELL_2,3883.25,0.208,38.015
WELL_2,3883.5,0.209,35.641
WELL_2,3883.800049,0.209,46.8
WELL_2,3884.100098,0.179,30.019
WELL_2,3884.350098,0.163,27.415
WELL_2,3884.600098,0.166,25.952
WELL_2,3884.850098,0.164,29.546
WELL_2,3885.100098,0.178,32.465
WELL_2,3885.350098,0.184,51.325
WELL_2,3885.600098,0.184,37.408
WELL_2,3885.850098,0.174,32.821
WELL_2,3886.149902,0.198,183.703
WELL_2,3886.350098,0.204,298.594
WELL_2,3886.600098,0.201,197.176
WELL_2,3886.850098,0.2,235.702
WELL_2,3887.100098,0.203,248.214
WELL_2,3887.350098,0.18,26.736
WELL_2,3887.600098,0.198,66.382
WELL_2,3887.850098,0.207,116.739
WELL_2,3888.149902,0.204,118.567
WELL_2,3888.350098,0.203,89.137
WELL_2,3888.600098,0.204,110.119
WELL_2,3888.850098,0.202,92.648
WELL_2,3889.100098,0.199,54.697
WELL_2,3889.350098,0.198,18.219
WELL_2,3889.600098,0.211,94.38
WELL_2,3889.850098,0.197,46.424
WELL_2,3890.149902,0.214,102.218
WELL_2,3890.350098,0.208,75.207
WELL_2,3890.600098,0.204,41.018
WELL_2,3890.850098,0.221,116.776
WELL_2,3891.100098,0.217,93.509
WELL_2,3891.350098,0.193,46.424
WELL_2,3891.600098,0.145,0.514
WELL_2,3891.850098,0.18,5.085
WELL_2,3892.149902,0.139,2.163
WELL_2,3892.350098,0.199,42.478
WELL_2,3892.600098,0.161,36.42
WELL_2,3892.850098,0.211,94.279
WELL_2,3893.100098,0.204,59.907
WELL_2,3893.350098,0.202,96.886
WELL_2,3893.600098,0.147,21.744
WELL_2,3893.800049,0.156,62.758
WELL_2,3894.100098,0.207,67.115
WELL_2,3894.350098,0.128,0.337
WELL_2,3894.600098,0.18,3.969
WELL_2,3894.850098,0.144,0.905
WELL_2,3895.100098,0.221,34.196
WELL_2,3895.350098,0.222,41.551
WELL_2,3895.600098,0.225,34.918
WELL_2,3895.850098,0.222,51.198
WELL_2,3896.149902,0.222,47.69
WELL_2,3896.350098,0.222,53.31
WELL_2,3896.600098,0.206,17.892
WELL_2,3896.850098,0.218,51.926
WELL_2,3897.100098,0.214,50.32
WELL_2,3897.350098,0.207,31.663
WELL_2,3897.600098,0.206,28.922
WELL_2,3897.850098,0.201,41.052
WELL_2,3898.149902,0.188,29.13
WELL_2,3898.350098,0.167,34.758
WELL_2,3898.600098,0.168,22.319
WELL_2,3898.850098,0.174,84.756
WELL_2,3899.149902,0.166,45.14
WELL_2,3899.600098,0.2,1022.282
WELL_2,3899.850098,0.199,1015.532
WELL_2,3900.149902,0.207,1004.779
WELL_2,3900.350098,0.217,1776.619
WELL_2,3900.600098,0.202,1055.264
WELL_2,3900.850098,0.188,699.655
WELL_2,3901.100098,0.195,751.658
WELL_2,3901.350098,0.197,1865.9969
WELL_2,3901.600098,0.189,811.201
WELL_2,3901.850098,0.174,274.461
WELL_2,3902.149902,0.194,850.829
WELL_2,3902.350098,0.199,965.917
WELL_2,3902.600098,0.193,268.273
WELL_2,3902.850098,0.187,169.699
WELL_2,3903.100098,0.184,129.016
WELL_2,3903.350098,0.19,149.925
WELL_2,3903.600098,0.175,436.078
WELL_2,3903.850098,0.176,132.284
WELL_2,3904.149902,0.186,295.005
WELL_2,3904.350098,0.185,306.632
WELL_2,3904.600098,0.186,194.546
WELL_2,3904.850098,0.192,754.944
WELL_2,3905.100098,0.187,448.794
WELL_2,3905.350098,0.183,703.766
WELL_2,3905.600098,0.17,88.938
WELL_2,3905.850098,0.173,114.927
WELL_2,3906.149902,0.181,137.88
WELL_2,3906.350098,0.185,386.762
WELL_2,3906.600098,0.188,81.876
WELL_2,3907.350098,0.211,221.732
WELL_2,3907.850098,0.19,1345.3979
WELL_2,3908.100098,0.11,0.22
WELL_2,3908.850098,0.214,24.223
WELL_2,3909.100098,0.231,118.474
WELL_2,3909.600098,0.228,94.239
WELL_2,3909.850098,0.223,85.278
WELL_2,3910.149902,0.223,92.306
WELL_2,3910.350098,0.22,81.891
WELL_2,3910.600098,0.232,114.197
WELL_2,3910.850098,0.226,122.904
WELL_2,3911.100098,0.232,142.557
WELL_2,3911.350098,0.229,117.518
WELL_2,3911.600098,0.236,132.152
WELL_2,3911.850098,0.211,49.462
WELL_2,3912.149902,0.209,44.769
WELL_2,3912.350098,0.231,150.643
WELL_2,3912.600098,0.228,143.617
WELL_2,3912.850098,0.235,180.679
WELL_2,3913.100098,0.217,145.683
WELL_2,3913.350098,0.204,117.006
WELL_2,3913.600098,0.201,118.74
WELL_2,3913.850098,0.207,143.109
WELL_2,3914.199951,0.195,36.959
WELL_2,3914.399902,0.194,29.857
WELL_2,3914.600098,0.185,18.738
WELL_2,3914.850098,0.199,27.895
WELL_2,3915.149902,0.204,41.299
WELL_2,3915.350098,0.212,50.207
WELL_2,3915.600098,0.217,65.685
WELL_2,3916.300049,0.221,71.349
WELL_2,3916.600098,0.242,170.088
WELL_2,3916.800049,0.232,134.77
WELL_2,3917,0.23,129.083
WELL_2,3917.350098,0.231,95.717
WELL_2,3917.600098,0.228,132.152
WELL_2,3917.850098,0.193,22.628
WELL_2,3918.100098,0.194,18.156
WELL_2,3918.350098,0.207,31.183
WELL_2,3918.600098,0.198,29.816
WELL_2,3918.850098,0.166,9.89
WELL_2,3919.100098,0.202,31.894
WELL_2,3919.350098,0.15,2.979
