Days,Qo,Qw
31,1757.491858,0
61 ,6082.02694,0
92 ,6123.221748,0
122 ,6183.08306,0
153 ,6125.250716,0
184 ,5953.802942,0
212 ,5940.7161,0
243 ,5933.716161,8.927458065
273 ,5804.4371,12.36994
304 ,5774.0364,12.5796
334 ,6089.99402,10.105612
365 ,6448.871071,6.472407097
396 ,6396.11791,6.452117419
426 ,6335.50588,6.352698
457 ,6233.1918,6.310089677
487 ,6212.43546,6.226902
518 ,6176.5836,6.20864129
549 ,6176.5836,6.188351613
577 ,6171.416979,6.199945714
608 ,6149.801226,6.168061935
638 ,6101.106,6.122072
669 ,5971.252065,24.36790258
699 ,5738.81352,104.033292
730 ,5312.649135,316.7421542
761 ,5174.679329,352.4925658
791 ,5103.33406,252.095184
822 ,4921.869948,176.2767174
852 ,4366.58882,132.169664
883 ,4833.406955,159.0102019
914 ,4615.901613,234.8935955
943 ,4434.309,230.1633021
974 ,4417.062774,232.661731
1004 ,4434.309,232.8457396
1035 ,4329.817161,329.7072581
1065 ,4226.11662,367.6705525
1096 ,4000.3128,358.7737224
1127 ,3915.096155,351.1737368
1157 ,3695.2575,346.400252
1188 ,3601.620639,311.3451
1218 ,3319.75644,226.22314
1249 ,3188.9286,225.8241097
1280 ,3188.9286,225.80382
1308 ,3075.487564,217.3575171
1339 ,3188.9286,225.6617923
1369 ,3187.8803,225.447398
1400 ,3170.66789,243.7601845
1430 ,3000.2346,416.38476
1461 ,3000.2346,416.5064981
1492 ,3000.2346,416.5267877
1522 ,3000.2346,416.1873232
1553 ,2918.4672,1008.478126
1583 ,2786.80072,1482.673588
1614 ,2754.9324,887.1661452
1645 ,2754.9324,887.1661452
1673 ,2608.919186,840.5419157
1704 ,2591.3976,834.8796465
1734 ,2591.3976,835.872488
1765 ,2591.3976,837.2535387
1795 ,2591.3976,837.298176
1826 ,2591.3976,837.2941181
1857 ,2420.96431,838.4506297
1887 ,1934.32316,985.737456
1918 ,1951.866968,1447.425008
1948 ,2088.2136,1257.477782
1979 ,2062.242813,1258.142607
2010 ,1987.5768,1259.441146
2038 ,1948.040914,1258.521589
2069 ,1729.897897,1258.446952
2099 ,1717.1154,1259.11313
2130 ,1534.305406,1257.33102
2160 ,1264.2498,1253.263616
2191 ,1264.2498,1253.658588
2222 ,1264.2498,1254.936838
2252 ,1264.2498,1254.857032
2283 ,1264.2498,1254.307858
2313 ,1264.251971,1253.132359
2344 ,1264.251971,1252.646255
2375 ,1237.467426,1393.21099
2403 ,983.6797929,1142.519706
2434 ,918.5136968,795.9234658
2464 ,710.7474,791.110078
2495 ,741.1819161,833.3985
2525 ,748.4862,860.486572
2556 ,748.4862,861.1141994
2587 ,744.4282645,865.5170594
2617 ,659.3807,918.41563
2648 ,654.1392,918.8383316
2678 ,571.3235,887.972998
2709 ,513.3288387,860.8910129
2740 ,503.184,860.6881161
2768 ,503.184,860.5569579
2799 ,474.7784516,860.44464
2829 ,459.1554,861.199416
2860 ,459.1554,860.6415761
2890 ,443.01158,832.119574
2921 ,380.6343484,734.6689297
2952 ,383.0691097,747.2079503
2982 ,358.5186,747.22824
3013 ,365.8228839,751.8747587
,,
,,
